Municipi;Codi;Altitud (m);Superfície (km²);Població;longitud;latitud
Llançà;170926;4;27,98;5048;3.16167556;42.36976614
Llardecans;251253;397;66,04;427;0.55005158;41.37403299
Llavorsí;251266;811;68,51;336;1.21116726;42.49568179
Lleida;251207;155;212,30;144878;0.62664877;41.61481376
Llers;170932;142;21,28;1262;2.91235321;42.29540888
Lles de Cerdanya;251272;1471;102,79;288;1.68755244;42.39033689
Lliçà d'Amunt;81075;145;22,33;16225;2.23801042;41.61109238
Lliçà de Vall;81081;125;10,83;6858;2.2395559;41.58599828
Llimiana;251288;790;41,68;132;0.91615392;42.07496634
Llinars del Vallès;81069;198;27,63;10699;2.40445682;41.63898605
Llívia;170947;1224;12,93;1561;1.98085535;42.46447483
Lloar, el;430727;219;6,64;100;0.75091036;41.18593231
Llobera;251291;855;39,23;208;1.4630824;41.92224252
Llorac;430733;648;23,33;102;1.3075185;41.55656078
Llorenç del Penedès;430748;162;4,61;2422;1.55313474;41.28291792
Lloret de Mar;170950;5;48,71;42134;2.84716747;41.69946593
Llosses, les;170963;895;114,02;199;2.1077773;42.1506733
Lluçà;81094;745;52,98;289;2.07368239;42.06718427
Maçanet de Cabrenys;171024;370;67,91;775;2.7480676;42.38593602
Maçanet de la Selva;171030;100;45,58;7972;2.73083631;41.77744856
Madremanya;170979;177;13,72;288;2.95724014;41.99007438
Maià de Montcal;170985;241;17,29;488;2.74212925;42.22232304
Maials;251333;395;57,08;916;0.50437408;41.36481356
Maldà;251305;428;31,36;239;1.04007727;41.5509404
Malgrat de Mar;81108;4;8,82;19270;2.74186834;41.64616227
Malla;81115;580;11,01;274;2.23464815;41.88706568
Manlleu;81120;461;17,17;21291;2.28395858;42.00103541
Manresa;81136;238;41,64;79737;1.82699748;41.72326357
Marçà;430764;315;16,06;599;0.8002487;41.12609573
Margalef;430751;379;34,66;108;0.75399188;41.28441909
Marganell;82423;291;13,53;310;1.78931916;41.64096729
Martorell;81141;56;12,76;28483;1.93062547;41.47442
Martorelles;81154;96;3,61;4984;2.24326295;41.52552477
Mas de Barberans;430770;348;78,80;546;0.3739144;40.7346886
Masarac i Vilarnadal;171002;85;12,55;296;2.97277568;42.35072191
Masdenverge;430786;54;14,61;1149;0.53103537;40.7158048
Masies de Roda, les;81167;468;16,46;749;2.31759977;41.98979005
Masies de Voltregà, les;81173;533;22,35;3292;2.31759977;41.98979005
Masllorenç;430799;304;6,55;567;1.41442794;41.26927629
Masnou, el;81189;27;3,39;24444;2.31634451;41.47922682
Masó, la;430803;115;3,57;288;1.22280346;41.23488635
Maspujols;430810;214;3,66;893;1.04580937;41.18179331
Masquefa;81192;257;17,06;10020;1.81102269;41.50219584
Masroig, el;430825;192;15,51;480;0.73147298;41.12654356
Massalcoreig;251312;94;14,14;576;0.35906271;41.45916494
Massanes;171019;164;26,07;843;2.65177868;41.76590217
Massoteres;251327;502;26,11;212;1.31073827;41.79748635
Matadepera;81206;423;25,36;9863;2.02640564;41.59681926
Mataró;81213;28;22,53;130887;2.44625862;41.54082572
Mediona;81228;430;47,55;2632;1.61290158;41.47667401
Menàrguens;251348;205;20,25;793;0.74355645;41.72959749
Meranges;170998;1539;37,34;111;1.78686867;42.44618451
Mieres;171058;286;26,29;348;2.63812532;42.12305622
Milà, el;430831;166;4,13;197;1.20662967;41.24790683
Miralcamp;251351;287;14,87;1389;0.87895356;41.60528225
Miravet;430846;43;32,33;683;0.59757147;41.03791956
Moià;81385;717;75,31;6715;2.09714449;41.81305607
Molar, el;430859;228;22,81;308;0.70585163;41.16493018
